name,year,cycle,variable_passenger,value_passenger,unit,variable_lcv,value_lcv
Brazil,2012,CAFE,hist,35.96774484,mi/gal_us,,
Brazil,2013,CAFE,hist,37.04140887,mi/gal_us,,
Brazil,2014,CAFE,enacted,38.00814893,mi/gal_us,,
Brazil,2015,CAFE,enacted,38.974889,mi/gal_us,,
Brazil,2016,CAFE,enacted,39.94162907,mi/gal_us,,
Brazil,2017,CAFE,enacted,40.90836913,mi/gal_us,,
Canada,2000,CAFE,hist,30.15081911,mi/gal_us,hist,21.18510791
Canada,2001,CAFE,hist,30.15081911,mi/gal_us,hist,21.33862319
Canada,2002,CAFE,hist,30.46272414,mi/gal_us,hist,21.33862319
Canada,2003,CAFE,hist,30.88877622,mi/gal_us,hist,21.75908867
Canada,2004,CAFE,hist,31.32691489,mi/gal_us,hist,21.97559701
Canada,2005,CAFE,hist,31.77766187,mi/gal_us,hist,22.36503797
Canada,2006,CAFE,hist,31.32691489,mi/gal_us,hist,22.59383632
Canada,2007,CAFE,hist,32.59848708,mi/gal_us,hist,23.24786842
Canada,2008,CAFE,hist,33.08685393,mi/gal_us,hist,24.74563025
Canada,2009,CAFE,hist,34.50855469,mi/gal_us,hist,25.83096491
Canada,2010,CAFE,hist,34.50855469,mi/gal_us,hist,27.60684375
Canada,2016,CAFE,hist,38.24324675,mi/gal_us,hist,27.73262948
Canada,2017,CAFE,enacted,39.97371041,mi/gal_us,enacted,29.34946844
Canada,2018,CAFE,enacted,41.47507042,mi/gal_us,enacted,29.94640678
Canada,2019,CAFE,enacted,43.09360976,mi/gal_us,enacted,30.56813149
Canada,2020,CAFE,enacted,44.84360406,mi/gal_us,enacted,31.21621908
Canada,2021,CAFE,enacted,46.74174603,mi/gal_us,enacted,33.2112406
Canada,2022,CAFE,enacted,49.8,mi/gal_us,enacted,36.2
Canada,2023,CAFE,enacted,51.5,mi/gal_us,enacted,37.7
Canada,2024,CAFE,enacted,53.3,mi/gal_us,enacted,39.1
Canada,2025,CAFE,enacted,55.2,mi/gal_us,enacted,40.6
China,2002,CAFE,hist,27.73438197,mi/gal_us,,
China,2006,CAFE,hist,30.88724745,mi/gal_us,,
China,2008,CAFE,hist,31.60584266,mi/gal_us,,
China,2010,CAFE,hist,32.37330563,mi/gal_us,hist,29.33717762
China,2011,CAFE,hist,33.1626838,mi/gal_us,hist,29.25751646
China,2012,CAFE,hist,33.57198697,mi/gal_us,hist,29.80687032
China,2013,CAFE,hist,33.99151987,mi/gal_us,enacted,30.51462119
China,2014,CAFE,hist,34.42167086,mi/gal_us,enacted,31.22237206
China,2015,CAFE,hist,36.99666095,mi/gal_us,enacted,31.93012293
China,2016,CAFE,hist,38.03120995,mi/gal_us,enacted,32.6378738
China,2017,CAFE,enacted,40.44891566,mi/gal_us,enacted,33.34562467
China,2018,CAFE,enacted,42.86662137,mi/gal_us,enacted,34.05337555
China,2019,CAFE,enacted,45.28432707,mi/gal_us,enacted,34.76112642
China,2020,CAFE,enacted,47.70203278,mi/gal_us,enacted,35.46887729
